Source Name	Characteristics[organism]	Comment[replicate]	Characteristics[growth condition]	Characteristics[genotype]	Characteristics[disease]	Characteristics[cell line]	Material Type	Description	Protocol REF	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Label	Protocol REF	Assay Name	Technology Type	Array Design REF	Term Source REF	Protocol REF	Array Data Matrix File	Comment [ArrayExpress Data Matrix FTP file]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[compound]	Factor Value[dose]	Unit[dose unit]	Factor Value[time]	Unit[time unit]
ML017/ET-CTRL_IV	Homo sapiens	4	xenograft into male athymic nude FoxM1mut subcutaneous tissue until neoplasm formation	FUS-CHOP type I	myxoid liposarcoma	ML017/ET	cell	PDX myxoid liposarcoma type I, resistant to trabectedin, untreated	P-MTAB-92264	P-MTAB-92265	ML017/ET-CTRL_IV	P-MTAB-92266	ML017/ET-CTRL_IV:Cy3	Cy3	P-MTAB-92267	ML017/ET-CTRL_IV:Cy3	array assay	A-MEXP-2320	ArrayExpress	P-MTAB-92268	US45102933_257236325563_S01_GE1_1105_Oct12_2_4.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8632/E-MTAB-8632.raw.1.zip	P-MTAB-92269	norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8632/E-MTAB-8632.processed.1.zip	none	  	  	not applicable	    
ML006_PIO_I	Homo sapiens	1	xenograft into male athymic nude FoxM1mut subcutaneous tissue until neoplasm formation	FUS-CHOP type III	myxoid liposarcoma	ML006	cell	PDX myxoid liposarcoma type III,  treated every day with one dose of pioglitazone, taken after 28 days of treatment	P-MTAB-92264	P-MTAB-92265	ML006_PIO_I	P-MTAB-92266	ML006_PIO_I:Cy3	Cy3	P-MTAB-92267	ML006_PIO_I:Cy3	array assay	A-MEXP-2320	ArrayExpress	P-MTAB-92268	US45102933_253949444954_S01_GE1_1105_Oct12_2_1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8632/E-MTAB-8632.raw.1.zip	P-MTAB-92269	norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8632/E-MTAB-8632.processed.1.zip	pioglitazone	150	milligram per kilogram	28	day
ML006_PIO_II	Homo sapiens	2	xenograft into male athymic nude FoxM1mut subcutaneous tissue until neoplasm formation	FUS-CHOP type III	myxoid liposarcoma	ML006	cell	PDX myxoid liposarcoma type III,  treated every day with one dose of pioglitazone, taken after 28 days of treatment	P-MTAB-92264	P-MTAB-92265	ML006_PIO_II	P-MTAB-92266	ML006_PIO_II:Cy3	Cy3	P-MTAB-92267	ML006_PIO_II:Cy3	array assay	A-MEXP-2320	ArrayExpress	P-MTAB-92268	US45102933_253949444955_S01_GE1_1105_Oct12_2_3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8632/E-MTAB-8632.raw.1.zip	P-MTAB-92269	norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8632/E-MTAB-8632.processed.1.zip	pioglitazone	150	milligram per kilogram	28	day
ML006_PIO_III	Homo sapiens	3	xenograft into male athymic nude FoxM1mut subcutaneous tissue until neoplasm formation	FUS-CHOP type III	myxoid liposarcoma	ML006	cell	PDX myxoid liposarcoma type III,  treated every day with one dose of pioglitazone, taken after 28 days of treatment	P-MTAB-92264	P-MTAB-92265	ML006_PIO_III	P-MTAB-92266	ML006_PIO_III:Cy3	Cy3	P-MTAB-92267	ML006_PIO_III:Cy3	array assay	A-MEXP-2320	ArrayExpress	P-MTAB-92268	US45102933_253949444955_S01_GE1_1105_Oct12_2_4.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8632/E-MTAB-8632.raw.1.zip	P-MTAB-92269	norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8632/E-MTAB-8632.processed.1.zip	pioglitazone	150	milligram per kilogram	28	day
ML017_PIO_I	Homo sapiens	1	xenograft into male athymic nude FoxM1mut subcutaneous tissue until neoplasm formation	FUS-CHOP type I	myxoid liposarcoma	ML017	cell	PDX myxoid liposarcoma type I, treated every day with one dose of pioglitazone, taken after 28 days of treatment	P-MTAB-92264	P-MTAB-92265	ML017_PIO_I	P-MTAB-92266	ML017_PIO_I:Cy3	Cy3	P-MTAB-92267	ML017_PIO_I:Cy3	array assay	A-MEXP-2320	ArrayExpress	P-MTAB-92268	US45102933_253949446154_S01_GE1_1105_Oct12_2_3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8632/E-MTAB-8632.raw.2.zip	P-MTAB-92269	norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8632/E-MTAB-8632.processed.1.zip	pioglitazone	150	milligram per kilogram	28	day
ML017_PIO_II	Homo sapiens	2	xenograft into male athymic nude FoxM1mut subcutaneous tissue until neoplasm formation	FUS-CHOP type I	myxoid liposarcoma	ML017	cell	PDX myxoid liposarcoma type I, treated every day with one dose of pioglitazone, taken after 28 days of treatment	P-MTAB-92264	P-MTAB-92265	ML017_PIO_II	P-MTAB-92266	ML017_PIO_II:Cy3	Cy3	P-MTAB-92267	ML017_PIO_II:Cy3	array assay	A-MEXP-2320	ArrayExpress	P-MTAB-92268	US45102933_253949446154_S01_GE1_1105_Oct12_2_4.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8632/E-MTAB-8632.raw.2.zip	P-MTAB-92269	norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8632/E-MTAB-8632.processed.1.zip	pioglitazone	150	milligram per kilogram	28	day
ML017_PIO_III	Homo sapiens	3	xenograft into male athymic nude FoxM1mut subcutaneous tissue until neoplasm formation	FUS-CHOP type I	myxoid liposarcoma	ML017	cell	PDX myxoid liposarcoma type I, treated every day with one dose of pioglitazone, taken after 28 days of treatment	P-MTAB-92264	P-MTAB-92265	ML017_PIO_III	P-MTAB-92266	ML017_PIO_III:Cy3	Cy3	P-MTAB-92267	ML017_PIO_III:Cy3	array assay	A-MEXP-2320	ArrayExpress	P-MTAB-92268	US45102933_253949446155_S01_GE1_1105_Oct12_1_1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8632/E-MTAB-8632.raw.2.zip	P-MTAB-92269	norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8632/E-MTAB-8632.processed.1.zip	pioglitazone	150	milligram per kilogram	28	day
ML017/ET_PIO_I	Homo sapiens	1	xenograft into male athymic nude FoxM1mut subcutaneous tissue until neoplasm formation	FUS-CHOP type I	myxoid liposarcoma	ML017/ET	cell	PDX myxoid liposarcoma type I, resistant to trabectedin, treated every day with one dose of pioglitazone, taken after 28 days of treatment	P-MTAB-92264	P-MTAB-92265	ML017/ET_PIO_I	P-MTAB-92266	ML017/ET_PIO_I:Cy3	Cy3	P-MTAB-92267	ML017/ET_PIO_I:Cy3	array assay	A-MEXP-2320	ArrayExpress	P-MTAB-92268	US45102933_253949448314_S01_GE1_1105_Oct12_2_1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8632/E-MTAB-8632.raw.2.zip	P-MTAB-92269	norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8632/E-MTAB-8632.processed.1.zip	pioglitazone	150	milligram per kilogram	28	day
ML017/ET_PIO_II	Homo sapiens	2	xenograft into male athymic nude FoxM1mut subcutaneous tissue until neoplasm formation	FUS-CHOP type I	myxoid liposarcoma	ML017/ET	cell	PDX myxoid liposarcoma type I, resistant to trabectedin, treated every day with one dose of pioglitazone, taken after 28 days of treatment	P-MTAB-92264	P-MTAB-92265	ML017/ET_PIO_II	P-MTAB-92266	ML017/ET_PIO_II:Cy3	Cy3	P-MTAB-92267	ML017/ET_PIO_II:Cy3	array assay	A-MEXP-2320	ArrayExpress	P-MTAB-92268	US45102933_253949448314_S01_GE1_1105_Oct12_2_2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8632/E-MTAB-8632.raw.2.zip	P-MTAB-92269	norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8632/E-MTAB-8632.processed.1.zip	pioglitazone	150	milligram per kilogram	28	day
ML017/ET_PIO_III	Homo sapiens	3	xenograft into male athymic nude FoxM1mut subcutaneous tissue until neoplasm formation	FUS-CHOP type I	myxoid liposarcoma	ML017/ET	cell	PDX myxoid liposarcoma type I, resistant to trabectedin, treated every day with one dose of pioglitazone, taken after 28 days of treatment	P-MTAB-92264	P-MTAB-92265	ML017/ET_PIO_III	P-MTAB-92266	ML017/ET_PIO_III:Cy3	Cy3	P-MTAB-92267	ML017/ET_PIO_III:Cy3	array assay	A-MEXP-2320	ArrayExpress	P-MTAB-92268	US45102933_253949448314_S01_GE1_1105_Oct12_2_3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8632/E-MTAB-8632.raw.2.zip	P-MTAB-92269	norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8632/E-MTAB-8632.processed.1.zip	pioglitazone	150	milligram per kilogram	28	day
